Die Entwicklerin argumentierte mit dem Designer, weil sie das Design nicht mochte. ||| The designer argued with the designer because she did not like the design.
Der Entwickler argumentierte mit dem Designer, weil seine Idee nicht umgesetzt werden kann. ||| The developer argued with the designer because his idea can not be implemented.
Der Mechaniker gab dem Angestellten ein Geschenk, weil sie die Lotterie gewonnen hatte. ||| The mechanic gave the employee a gift because she won the lottery.
Der Mechaniker gab dem Angestellten ein Geschenk, weil er Geburtstag hatte. ||| The mechanic gave the employee a present because it was his birthday.
Die Umzugsfirma bedankte sich bei der Haushälterin, weil sie dankbar ist. ||| The moving company thanked the housekeeper for being grateful.
Der Mover bedankte sich bei der Haushälterin, weil er den Wagen gereinigt hatte. ||| The mover thanked the housekeeper for cleaning the car.
Die Assistentin scannte Dokumente für den Analytiker, weil sie gefragt hatte. ||| The assistant scanned documents for the analyst because she had asked.
Der Assistent hat Dokumente für den Analytiker gescannt, da er mit der Scanmaschine vertraut ist. ||| The wizard has scanned documents for the analyst because he is familiar with the scan engine.
Der Chef gab der Haushälterin ein Trinkgeld, weil sie zufrieden war. ||| The boss tipped the housekeeper for being satisfied.
Der Chef gab der Haushälterin ein Trinkgeld, weil er hilfreich war. ||| The boss tipped the housekeeper because he was helpful.
Die Verkäuferin verkaufte einige Bücher an die Bibliothekarin, weil es ihre Aufgabe war. ||| The saleswoman sold a few books to the librarian because it was her job.
Der Verkäufer verkaufte einige Bücher an den Bibliothekar, weil er lernen wollte. ||| The salesman sold some books to the librarian because he wanted to learn.
Der Anwalt schrie den Friseur an, weil sie sauer war. ||| The lawyer shouted at the barber because she was angry.
Der Anwalt schrie den Friseur an, weil er schlechte Arbeit geleistet hatte. ||| The lawyer shouted at the barber because he had done a poor job.
Die Köchin bereitete ein Gericht für die Lehrerin vor, weil sie gerade ein neues Gericht gelernt hatte. ||| The cook was preparing a dish for the teacher because she had just learned a new court.
Der Koch bereitete ein Gericht für den Lehrer vor, weil er Hunger hatte. ||| The cook prepared a dish for the teacher because he was hungry.
Der Mover hat den Friseur überholt, weil sie in Form war. ||| The mover overtook the barber because she was in shape.
Der Mover überholte den Friseur, weil er sich nicht gut fühlte. ||| The mover overtook the barber because he did not feel well.
Der Arzt sagte dem Bäcker, dass sie das Beste versucht habe. ||| The doctor told the baker that she had tried the best.
Der Arzt sagte dem Bäcker, dass er Krebs habe. ||| The doctor told the baker that he had cancer.
Der Bauer bot der Haushälterin Äpfel an, weil sie zu viele davon hatte. ||| The farmer offered apples to the housekeeper because she had too many.
Der Bauer bot der Haushälterin Äpfel an, weil er sie mögen könnte. ||| The farmer offered the housekeeper apples because he might like them.
Der CEO half der Krankenschwester, weil sie helfen wollte. ||| The CEO helped the nurse because she wanted to help.
Der Geschäftsführer half der Krankenschwester, weil er Hilfe brauchte. ||| The manager helped the nurse because he needed help.
Der Friseur freundete sich mit der Köchin an, weil sie nach einem Haarschnitt gute Tipps gab. ||| The hairdresser made friends with the cook, because she gave good tips after a haircut.
Der Friseur freundete sich mit dem Koch an, weil ihm das Essen schmeckte. ||| The hairdresser made friends with the cook because he liked the food.
Die Entwicklerin besuchte den Friseur, weil sie sich die Haare schneiden musste. ||| The designer visited the barber because she had to cut her hair.
Der Entwickler besuchte den Friseur, weil er einen neuen Salon eröffnet hatte. ||| The developer visited the barber because he had opened a new salon.
Der Manager sagte dem Friseur, dass sie etwas Besseres erwartet hätte. ||| The manager told the barber she expected something better.
Der Manager sagte dem Friseur, dass er gute Arbeit geleistet habe. ||| The manager told the barber that he had done a good job.
Der Fahrer schlug den Angestellten, weil sie während der Fahrt ein Mobiltelefon benutzte. ||| The driver hit the employee because she was using a mobile phone while driving.
Der Fahrer schlug den Angestellten, weil er beim Überqueren einer Straße ein Handy benutzte. ||| The driver punched the employee for using a cell phone while crossing a street.
Der Auditor hat den Entwickler beim Schummeln erwischt, weil er unehrlich ist. ||| The auditor got the developer cheating because he is dishonest.
Der Auditor hat den Entwickler beim Schummeln erwischt, weil er die Schlüsseldokumente entdeckt hat. ||| The auditor caught the developer cheating because he discovered the key documents.
Die Geschäftsführerin hat das Gehalt der Rezeptionistin erhöht, weil sie großzügig ist. ||| The manager has increased the salary of the receptionist because she is generous.
Der CEO hat das Gehalt der Rezeptionistin erhöht, weil er gute Arbeit geleistet hat. ||| The CEO has raised the salary of the receptionist because he has done a good job.
Die Wache rettete den Redakteur vor den Verbrechern, weil sie Dienst hatte. ||| The guard saved the editor from the criminals because they were on duty.
Die Wache rettete den Redakteur vor den Verbrechern, weil er Hilfe brauchte. ||| The guard saved the editor from the criminals because he needed help.
Die Assistentin kaufte einen neuen Computer auf Empfehlung des Verkäufers, weil sie überzeugt ist. ||| The assistant bought a new computer on the recommendation of the seller, because she is convinced.
Der Assistent kaufte einen neuen Computer aufgrund einer Empfehlung des Verkäufers, weil er die Produktivität steigern wollte. ||| The assistant bought a new computer based on a recommendation from the seller, because he wanted to increase productivity.
Der Auditor hat der Wache ein Geschenk gekauft, weil er dankbar ist. ||| The auditor bought the guard a gift because he is grateful.
Der Auditor hat der Wache ein Geschenk gekauft, weil sie wirksam ist. ||| The auditor bought the guard a gift because it is effective.
Die Sekretärin fragte den Urheber, wann sie verfügbar sei. ||| The secretary asked the author when it was available.
Die Sekretärin fragte den Urheber, was er tun könne, um zu helfen. ||| The secretary asked the author what he could do to help.
Die Verkäuferin plauderte mit dem Putzer, weil sie das Auto verkaufen wollte. ||| The saleswoman chatted with the cleaner because she wanted to sell the car.
Der Verkäufer plauderte mit dem Reiniger, weil er einen Staubsauger kaufen wollte. ||| The salesman chatted with the cleaner because he wanted to buy a vacuum cleaner.
Der Bauer fragte den Designer, was er tun könne, um zu helfen. ||| The farmer asked the designer what he could do to help.
Der Bauer fragte den Designer, woran er arbeite. ||| The farmer asked the designer what he was working on.
